loja_id,regiao,tipo_loja,area_m2,meses_operacao
1,Sudeste,Shopping,186.8,26
2,Norte,Shopping,220.5,54
3,Nordeste,Rua,214.7,13
4,Sul,Shopping,118.3,51
5,Sudeste,Shopping,276.7,10
6,Sudeste,Rua,273.5,38
7,Sudeste,Shopping,250.5,40
8,Centro-Oeste,Rua,228.9,42
9,Nordeste,Shopping,122.6,22
10,Nordeste,Outlet,212.1,37
11,Sudeste,Rua,219.2,50
12,Norte,Shopping,177.8,27
13,Centro-Oeste,Shopping,235.5,37
14,Sudeste,Rua,286.4,27
15,Sudeste,Rua,419.8,31
16,Sudeste,Rua,265.7,20
17,Sudeste,Rua,273.2,48
18,Sul,Shopping,243.3,20
19,Sul,Shopping,77.3,4
20,Sudeste,Shopping,247.6,56
21,Nordeste,Outlet,255.4,37
22,Sudeste,Rua,471.7,18
23,Sudeste,Shopping,232.7,43
24,Sudeste,Shopping,277.1,38
25,Sul,Shopping,246.9,35
26,Nordeste,Shopping,144.8,6
27,Sudeste,Rua,352.9,35
28,Sul,Rua,317.7,16
29,Sul,Outlet,321.2,23
30,Sudeste,Shopping,168.2,50
31,Nordeste,Shopping,376.3,22
32,Sudeste,Rua,123.8,58
33,Sudeste,Rua,302.8,10
34,Norte,Rua,447.1,9
35,Norte,Rua,160.9,5
36,Centro-Oeste,Shopping,199.0,19
37,Sudeste,Rua,259.0,35
38,Sudeste,Shopping,204.7,50
39,Nordeste,Shopping,110.4,14
40,Sul,Shopping,256.2,53
41,Sudeste,Shopping,154.4,24
42,Sul,Rua,292.6,57
43,Sudeste,Shopping,167.3,24
44,Centro-Oeste,Rua,389.5,48
45,Sudeste,Outlet,179.5,32
46,Nordeste,Shopping,221.0,40
47,Sudeste,Shopping,323.2,40
48,Sul,Rua,139.2,47
49,Sul,Shopping,270.5,53
50,Sudeste,Shopping,367.6,56
51,Norte,Shopping,105.3,10
52,Nordeste,Shopping,266.6,29
53,Norte,Outlet,273.4,29
54,Centro-Oeste,Rua,320.4,36
55,Sul,Rua,138.7,23
56,Norte,Outlet,131.2,32
57,Sudeste,Rua,297.0,35
58,Sudeste,Shopping,276.7,30
59,Sudeste,Outlet,272.5,49
60,Sudeste,Rua,281.2,35
